,long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
90,1,12.3,5.6,1,0,0,0,Female
91,1,12.9,5.1,0,0,0,0,Female
92,1,13.3,5.9,1,1,1,1,Male
93,0,13.0,5.4,0,0,0,0,Female
94,1,12.2,6.5,1,1,0,1,Male
95,1,13.0,5.2,0,1,1,1,Male
96,1,12.2,6.2,1,1,1,1,Male
97,1,15.1,6.8,1,1,1,1,Male
98,0,12.0,6.4,0,0,0,0,Female
99,0,12.3,5.9,0,0,0,0,Female
100,1,15.3,5.6,0,1,1,1,Male
101,1,13.7,5.4,1,1,0,1,Male
102,1,14.4,5.7,1,1,1,1,Male
103,1,14.5,6.3,1,1,1,0,Male
104,1,12.1,6.5,1,1,1,1,Male
105,1,11.8,6.5,1,1,0,1,Male
106,0,11.8,6.5,1,0,1,1,Female
107,1,15.3,6.7,1,1,1,1,Male
108,1,14.8,6.1,1,1,1,1,Male
109,1,13.9,5.5,0,1,0,0,Female
110,1,15.5,5.3,1,1,1,0,Male
111,1,12.5,6.2,0,1,0,0,Female
112,1,13.1,6.6,1,0,1,1,Male
113,1,15.3,5.3,1,1,1,0,Male
114,1,13.8,5.4,0,0,0,0,Female
115,1,12.8,6.1,0,0,0,1,Female
116,1,12.9,6.4,0,0,0,1,Female
117,1,14.3,6.1,0,0,0,0,Female
118,1,13.8,6.7,1,1,1,1,Male
119,1,11.6,5.1,1,1,1,1,Male
120,1,11.5,6.3,0,1,1,0,Female
121,1,13.4,5.4,0,1,0,0,Female
122,1,12.9,5.2,0,0,0,0,Female
123,1,11.8,7.1,1,1,1,1,Male
124,1,12.6,6.4,0,1,0,1,Male
125,1,14.0,6.0,0,0,0,0,Female
126,1,14.2,6.2,1,1,1,1,Male
127,1,12.1,6.2,1,1,1,1,Male
128,1,12.0,6.5,0,0,0,0,Female
129,1,12.3,5.4,0,0,0,1,Female
130,1,12.7,6.8,1,1,1,1,Male
131,1,12.5,5.8,0,1,0,0,Female
132,1,11.8,5.4,0,1,1,1,Male
133,1,11.6,5.9,0,0,0,0,Female
134,1,11.7,6.3,1,0,0,0,Male
135,1,11.9,5.3,0,0,0,0,Female
136,1,13.2,5.5,1,0,1,1,Male
137,1,13.8,5.2,1,1,0,0,Female
138,1,12.4,5.9,1,1,1,1,Male
139,1,13.2,5.6,1,0,1,1,Male
140,1,12.6,6.5,0,0,0,0,Female
141,1,13.1,6.2,1,1,1,1,Male
142,1,13.2,6.0,0,1,1,0,Female
143,1,12.7,5.6,0,0,0,0,Female
144,1,14.2,6.5,1,1,1,1,Male
145,1,11.9,6.3,0,0,0,0,Female
146,1,13.9,5.1,1,1,1,1,Male
147,1,11.9,6.8,1,1,1,1,Male
148,1,13.4,6.3,0,0,1,0,Female
149,1,15.4,6.6,1,1,1,1,Male
150,1,11.8,5.2,1,0,1,1,Male
151,1,11.7,5.5,0,0,0,0,Female
152,1,13.4,6.4,1,1,1,1,Male
153,0,12.5,6.8,1,1,0,1,Male
154,1,13.3,6.4,0,0,0,0,Female
155,1,12.9,6.2,0,0,0,0,Female
156,1,12.8,5.9,1,1,1,1,Male
157,1,11.9,5.5,0,0,0,0,Female
158,1,15.3,5.5,1,1,1,0,Male
159,1,12.5,6.1,0,1,1,1,Male
160,0,14.1,5.8,0,0,0,0,Female
161,1,14.0,6.6,1,1,1,1,Male
162,1,14.3,5.2,1,1,1,1,Male
163,1,11.9,7.1,0,1,1,1,Male
164,1,14.6,6.2,1,1,1,1,Male
165,0,13.3,6.2,0,0,1,0,Female
166,1,12.7,5.7,1,1,1,1,Male
167,1,11.6,5.4,1,1,1,1,Male
168,1,14.1,6.0,0,0,0,0,Female
169,1,12.8,6.6,1,1,1,1,Male
170,1,12.0,5.4,0,0,0,0,Female
171,0,11.6,5.4,0,0,0,1,Female
172,1,13.1,6.1,1,0,1,1,Male
173,1,14.4,7.1,0,0,1,1,Male
174,1,11.6,6.1,0,0,0,0,Female
175,1,12.7,5.7,1,1,1,1,Male
176,1,12.2,6.4,0,0,0,0,Female
177,1,12.0,5.5,1,1,1,1,Male
178,0,12.5,6.0,1,1,0,1,Male
179,1,12.5,5.6,0,0,0,0,Female
180,1,13.5,6.2,0,0,0,0,Female
181,0,12.6,5.8,1,1,1,0,Male
182,1,12.3,5.8,1,1,1,1,Male
183,1,12.2,5.4,0,0,0,0,Female
184,1,14.2,7.1,1,1,1,1,Male
185,1,11.9,6.0,0,0,1,0,Female
186,1,15.1,5.6,1,1,1,1,Male
187,1,11.8,5.9,1,1,1,1,Male
188,1,13.8,6.2,0,0,1,0,Female
189,1,15.0,6.2,1,0,0,1,Male
190,1,13.7,5.5,0,0,0,0,Female
191,0,13.5,6.4,0,0,1,1,Male
192,1,13.0,6.2,1,1,1,1,Male
193,1,13.5,5.8,0,0,0,0,Female
194,0,11.9,5.4,1,0,1,1,Male
195,1,13.8,5.6,0,0,0,0,Female
196,1,11.8,6.3,1,1,1,1,Male
197,1,11.9,5.9,0,0,1,0,Female
198,1,14.1,5.3,0,0,0,0,Female
199,1,11.7,5.3,0,0,0,0,Female
200,1,12.8,5.3,1,1,1,1,Male
201,1,11.9,5.8,0,0,0,0,Female
202,0,12.7,5.4,0,1,0,0,Female
203,0,12.4,6.2,1,0,1,0,Male
204,0,11.5,5.7,0,0,0,1,Female
205,1,12.6,6.4,1,1,1,1,Male
206,1,14.3,6.4,1,1,1,1,Male
207,1,15.1,5.1,1,1,1,1,Male
208,1,12.6,5.1,0,1,1,0,Female
209,1,11.7,5.5,0,0,1,0,Female
210,1,12.1,5.4,1,0,0,0,Female
211,1,13.8,5.3,0,1,0,0,Female
212,0,13.9,6.5,0,0,1,1,Female
213,1,14.2,7.1,1,0,1,1,Male
214,1,13.1,5.7,1,1,1,1,Male
215,1,14.0,6.7,1,1,1,1,Male
216,0,12.5,6.3,0,0,1,0,Female
217,1,12.0,5.5,0,0,0,0,Female
218,1,11.8,6.7,1,1,0,1,Male
219,1,11.7,6.3,0,0,0,0,Female
220,1,14.3,6.0,0,1,0,0,Female
221,1,15.3,6.7,0,1,1,1,Male
222,0,13.0,6.2,0,0,0,1,Female
223,1,13.5,5.7,0,0,0,0,Female
224,0,13.7,5.6,1,1,0,1,Male
225,1,14.8,5.8,1,0,1,1,Male
226,1,13.2,5.2,1,1,1,1,Male
227,1,15.1,6.7,1,1,1,1,Male
228,1,13.5,6.0,1,0,0,0,Female
229,1,12.7,5.4,1,1,1,1,Male
230,1,12.9,5.1,0,0,0,0,Female
231,1,12.5,7.0,1,1,1,1,Male
232,1,13.2,6.2,0,0,1,0,Female
233,1,14.2,6.4,0,0,1,0,Female
234,1,15.5,5.6,1,1,1,1,Male
235,1,15.1,5.4,1,1,1,1,Male
236,1,13.7,5.9,1,1,1,1,Male
237,1,13.4,5.7,1,1,0,1,Male
238,1,14.2,6.4,0,1,1,1,Male
239,1,12.6,5.3,0,1,0,0,Female
240,1,15.0,7.0,1,1,1,1,Male
241,0,14.8,6.4,1,1,1,1,Male
242,1,14.0,6.2,0,0,0,1,Female
243,1,12.5,6.2,1,0,1,1,Male
244,1,15.4,5.1,1,0,1,1,Male
245,1,11.5,5.6,0,0,1,0,Female
246,1,13.4,6.1,0,0,1,0,Female
247,1,12.1,5.2,0,0,0,0,Female
248,1,14.0,5.9,1,1,1,1,Male
249,0,13.3,6.9,1,1,1,1,Male
250,1,13.0,6.3,0,0,1,1,Female
251,1,12.3,5.8,1,0,0,1,Male
252,1,12.2,5.8,1,1,1,1,Male
253,0,13.1,6.9,1,0,1,1,Male
254,1,13.9,6.4,0,0,0,0,Female
255,1,13.5,5.4,1,1,1,1,Male
256,1,12.6,5.7,1,0,0,0,Female
257,1,11.5,5.7,0,0,0,0,Female
258,1,13.6,6.1,1,1,1,1,Male
259,1,14.0,6.2,0,0,0,0,Female
260,1,12.1,5.3,1,0,0,0,Female
261,1,13.0,6.2,1,1,1,1,Male
262,0,13.4,7.0,1,1,1,1,Male
263,1,15.1,7.1,1,1,1,1,Male
264,0,12.3,5.6,0,0,0,1,Female
265,1,13.2,7.0,1,1,0,1,Male
266,1,12.1,5.4,0,1,1,0,Male
267,1,15.2,6.8,1,1,1,1,Male
268,0,15.3,5.7,1,1,1,1,Male
269,1,12.1,5.3,0,0,0,0,Female
270,1,13.0,5.7,1,1,1,0,Male
271,1,12.3,5.6,0,0,0,0,Female
272,1,14.0,6.5,0,0,0,1,Female
273,1,15.3,6.0,1,1,1,1,Male
274,1,13.0,6.0,1,1,1,1,Male
275,1,13.9,6.1,0,0,0,0,Female
276,1,14.1,5.9,0,1,0,1,Female
277,1,13.5,6.5,0,0,1,0,Female
278,1,14.1,6.0,0,0,0,0,Female
279,1,12.5,7.0,1,1,1,1,Male
280,1,14.1,5.6,1,1,1,1,Male
281,1,12.7,5.9,0,0,0,1,Female
282,1,12.8,6.1,1,1,1,1,Male
283,0,13.3,6.5,0,0,1,1,Male
284,1,12.1,6.3,0,0,0,1,Female
285,1,14.2,6.1,0,0,0,0,Female
286,0,14.7,6.4,1,1,1,1,Male
287,1,12.2,5.6,1,1,1,1,Male
288,1,14.0,5.2,0,0,0,0,Female
289,1,14.3,5.3,0,0,0,1,Female
290,1,15.1,5.2,1,1,1,1,Male
291,1,14.2,5.8,0,0,0,0,Female
292,1,12.4,7.0,1,1,1,1,Male
293,0,12.2,5.7,0,0,0,0,Female
294,0,13.9,6.1,1,1,1,1,Male
295,1,13.3,6.2,0,0,0,0,Female
296,1,12.9,6.3,1,1,1,1,Male
297,1,12.6,5.9,1,1,0,1,Male
298,0,14.2,5.5,1,1,1,0,Male
299,1,14.5,5.7,0,1,1,1,Male
300,1,12.0,5.7,1,1,1,1,Male
301,1,12.9,5.5,1,1,1,1,Male
302,1,12.8,5.3,1,1,1,0,Female
303,1,11.9,5.6,0,0,0,1,Female
304,1,13.6,5.8,0,0,1,1,Female
305,1,14.6,6.8,1,1,1,1,Male
306,1,13.7,7.1,1,1,1,1,Male
307,1,14.2,7.1,1,1,1,1,Male
308,1,14.5,6.2,1,1,0,0,Male
309,1,11.7,5.1,0,0,0,0,Female
310,0,11.7,5.2,0,0,0,0,Female
311,1,11.6,5.5,0,0,0,1,Female
312,0,13.2,6.5,0,1,0,0,Female
313,1,11.4,5.5,0,0,0,0,Female
314,1,15.2,6.0,1,1,1,1,Male
315,1,14.1,5.6,0,1,0,0,Female
316,1,13.5,6.1,1,1,1,1,Male
317,1,14.9,5.9,1,1,0,1,Male
318,1,12.2,6.0,0,0,0,0,Female
319,1,14.1,6.1,0,1,1,0,Female
320,1,13.7,6.1,0,0,0,0,Female
321,1,12.2,5.6,1,0,1,1,Male
322,1,12.4,5.9,0,0,0,0,Female
323,1,11.5,5.7,0,0,0,0,Female
324,1,12.6,6.5,0,0,0,0,Female
325,1,13.6,5.1,0,0,0,0,Female
326,1,12.1,5.5,0,0,0,0,Female
327,1,11.5,5.3,0,0,0,0,Female
328,1,13.2,5.7,0,0,1,0,Female
329,1,12.2,5.9,1,0,0,0,Female
330,1,11.7,6.5,1,1,0,1,Male
331,1,14.8,5.3,1,1,1,1,Male
332,0,15.5,6.8,1,1,1,0,Male
333,1,12.2,5.2,0,0,0,0,Female
334,1,14.8,6.0,1,0,1,1,Male
335,0,14.9,6.2,0,1,1,1,Male
336,1,13.8,6.1,1,0,1,1,Male
337,1,14.6,6.7,1,1,1,1,Male
338,1,14.5,6.5,0,1,1,1,Male
339,1,14.0,6.2,0,0,0,0,Female
340,0,13.5,5.3,1,0,0,1,Female
341,1,11.4,6.0,0,0,0,0,Female
342,1,13.9,6.5,0,0,0,0,Female
343,1,14.7,5.8,1,0,1,1,Male
344,1,14.9,5.9,1,1,1,1,Male
345,1,14.1,5.3,0,0,0,0,Female
346,1,12.0,5.2,0,0,0,0,Female
347,1,11.9,6.5,0,0,0,0,Female
348,1,11.8,5.9,1,1,1,1,Male
349,1,15.4,5.6,1,1,1,1,Male
350,1,12.2,5.4,0,0,0,1,Female
351,1,11.8,6.7,1,1,1,1,Male
352,0,12.8,6.2,1,0,0,0,Female
353,1,13.3,6.4,1,1,1,1,Male
354,1,12.2,6.0,0,0,0,1,Female
355,1,13.3,5.6,1,1,1,1,Male
356,0,11.6,6.2,0,0,0,0,Female
357,1,12.7,6.6,1,1,1,1,Male
358,1,13.9,6.2,0,0,0,0,Female
359,1,14.2,7.1,1,1,1,1,Male
360,1,12.2,5.9,0,0,0,1,Female
361,1,13.8,5.5,0,0,1,1,Male
362,1,14.1,6.5,0,0,0,0,Female
363,1,13.4,6.4,0,0,0,0,Female
364,1,14.3,6.4,1,1,1,1,Male
365,1,11.6,5.1,0,0,1,0,Female
366,1,15.5,6.8,1,1,1,1,Male
367,1,14.3,5.5,0,1,0,0,Female
368,1,11.6,6.8,1,1,1,1,Male
369,1,13.8,5.5,0,0,0,0,Female
370,1,14.4,6.1,1,1,1,0,Male
371,1,13.9,6.0,0,0,0,0,Female
372,1,11.5,5.9,0,0,0,0,Female
373,1,12.0,6.4,0,0,0,0,Female
374,0,11.4,5.4,0,0,0,0,Female
375,1,13.2,6.0,0,0,0,0,Female
376,1,12.9,5.5,1,1,1,1,Male
377,1,11.6,5.4,0,0,0,1,Female
378,1,15.5,6.8,1,1,1,1,Male
379,0,14.5,6.6,0,1,1,0,Male
380,1,12.1,5.5,1,1,1,0,Male
381,1,15.1,6.3,1,0,1,1,Male
382,1,13.7,6.2,0,0,0,0,Female
383,1,12.9,6.3,0,0,0,1,Female
384,1,14.4,6.6,0,1,1,1,Male
385,0,12.8,6.3,0,0,1,0,Female
386,0,13.4,6.6,1,1,1,1,Male
387,1,14.7,7.0,1,1,1,1,Male
388,1,14.1,6.9,1,0,1,1,Male
389,1,13.3,5.5,0,0,1,0,Female
390,1,13.2,5.9,1,0,1,0,Female
391,1,12.1,6.2,1,1,1,1,Male
392,0,12.5,5.7,1,1,1,1,Male
393,1,12.8,6.1,0,0,0,0,Female
394,1,13.3,5.5,0,0,0,0,Female
395,1,15.5,5.7,1,1,0,1,Male
396,1,14.7,6.4,1,1,1,1,Male
397,1,12.5,7.0,0,1,1,1,Male
398,1,11.6,6.5,0,0,0,0,Female
399,0,13.2,6.2,0,0,0,0,Female
400,0,12.0,5.1,0,0,0,0,Female
401,1,14.2,5.4,0,0,0,0,Female
402,0,13.4,7.0,1,1,1,1,Male
403,1,15.5,6.9,1,0,1,0,Male
404,1,14.7,5.9,0,0,1,1,Male
405,1,13.1,5.9,0,0,0,0,Female
406,0,15.1,7.0,1,1,1,1,Male
407,1,13.5,5.8,1,0,1,1,Male
408,1,13.5,5.4,0,0,0,0,Female
409,1,12.1,6.4,0,0,1,0,Female
410,1,14.0,5.9,1,1,1,1,Male
411,0,13.7,6.3,0,0,0,0,Female
412,1,13.3,6.1,0,1,0,0,Female
413,1,13.8,5.5,0,0,0,0,Female
414,0,12.2,7.0,1,1,1,0,Male
415,1,12.5,7.1,1,1,1,1,Male
416,0,14.6,6.9,1,1,1,1,Male
417,1,13.9,6.2,0,0,1,1,Female
418,1,12.7,6.4,1,1,1,1,Male
419,0,14.2,5.4,0,0,0,0,Female
420,1,13.6,5.2,0,1,1,0,Female
421,0,12.1,6.1,1,1,1,1,Male
422,1,11.8,5.9,1,0,0,0,Female
423,0,11.8,5.1,1,0,0,0,Female
424,1,13.2,6.6,0,1,1,1,Male
425,1,11.6,6.9,1,1,1,1,Male
426,1,12.5,5.6,0,0,0,0,Female
427,1,13.0,5.7,1,1,0,1,Male
428,1,14.1,6.1,0,0,0,0,Female
429,1,14.2,6.4,0,1,0,0,Female
430,1,11.7,5.4,0,0,0,0,Female
431,1,15.4,6.4,0,1,1,1,Male
432,1,11.9,5.9,0,0,0,0,Female
433,1,12.0,5.2,1,1,1,1,Male
434,1,14.3,5.1,0,0,0,0,Female
435,1,12.6,6.2,0,0,0,0,Female
436,1,14.6,6.5,1,1,1,1,Male
437,0,13.3,5.1,0,0,0,1,Female
438,1,12.7,5.2,0,1,0,1,Male
439,1,13.8,5.5,1,1,0,0,Female
440,1,11.7,6.1,1,0,0,0,Female
441,1,14.7,6.5,1,1,1,1,Male
442,0,15.1,6.8,1,1,1,1,Male
443,1,12.9,5.7,1,1,1,1,Male
444,1,14.1,5.2,0,0,0,0,Female
445,1,13.9,6.1,0,0,1,0,Female
446,1,11.8,5.7,1,1,1,1,Male
447,1,12.1,5.9,1,0,0,0,Female
448,1,14.0,6.1,0,0,0,0,Female
449,1,13.7,5.8,1,1,1,1,Male
450,0,11.9,5.8,0,1,0,0,Female
451,1,12.5,5.3,1,1,1,0,Male
452,1,11.7,6.4,0,0,0,0,Female
453,1,12.8,6.2,0,0,0,0,Female
454,1,12.2,6.1,0,0,0,0,Female
455,1,12.4,6.5,0,0,0,0,Female
456,0,12.8,6.3,1,1,1,1,Male
457,0,13.2,5.9,1,1,1,0,Male
458,0,14.0,5.8,0,0,0,0,Female
459,1,11.9,6.9,1,1,1,1,Male
460,1,12.5,5.3,1,1,0,1,Male
461,1,14.9,5.5,0,1,1,1,Male
462,1,11.6,6.5,0,0,0,0,Female
463,1,14.1,5.1,0,0,1,1,Male
464,1,11.4,6.1,0,0,0,0,Female
465,1,13.3,5.9,1,1,1,1,Male
466,1,13.1,5.5,0,0,0,0,Female
467,1,14.2,5.4,1,1,1,1,Male
468,1,14.1,7.1,1,1,1,1,Male
469,1,12.9,6.1,0,1,0,0,Female
470,1,13.0,6.4,1,1,1,1,Male
471,1,15.0,6.2,1,1,1,1,Male
472,1,13.0,5.5,1,1,0,1,Female
473,1,12.0,6.5,0,0,0,1,Female
474,1,12.2,6.0,0,0,0,0,Female
475,1,12.7,6.1,0,1,1,1,Male
476,1,12.7,6.2,1,1,1,1,Male
477,1,11.6,6.0,0,0,0,0,Female
478,1,13.2,6.0,0,0,0,0,Female
479,1,12.6,6.4,1,1,1,1,Male
480,1,12.7,5.8,1,0,1,1,Male
481,1,11.4,5.9,0,1,1,0,Female
482,1,14.3,6.4,0,0,0,0,Female
483,1,12.8,5.3,1,1,0,0,Female
484,1,12.0,5.5,0,0,0,0,Female
485,0,14.4,5.9,1,0,1,1,Male
486,1,13.4,5.5,0,0,0,0,Female
487,1,14.3,6.3,1,1,1,1,Male
488,1,12.5,5.3,0,0,0,0,Female
489,1,12.3,6.4,0,1,1,1,Male
490,1,12.4,6.8,1,0,0,1,Male
491,1,14.6,6.1,1,1,1,1,Male
492,1,12.0,6.4,0,0,0,0,Female
493,0,11.7,5.2,1,1,1,1,Male
494,1,13.0,7.1,1,1,1,1,Male
495,1,11.7,6.2,1,1,1,0,Male
496,1,12.0,5.3,0,1,0,0,Female
497,1,14.3,6.8,1,1,1,1,Male
498,1,13.7,5.8,1,1,1,1,Male
499,1,11.5,5.1,0,1,0,0,Female
500,0,11.9,5.8,0,0,1,0,Female
501,1,14.9,5.2,1,1,1,1,Male
502,1,12.1,6.8,0,1,1,0,Male
503,1,12.9,6.3,0,0,0,0,Female
504,0,15.3,5.7,1,1,1,1,Male
505,1,11.6,5.2,0,0,0,0,Female
506,1,13.7,6.4,0,0,0,0,Female
507,1,12.2,6.2,0,0,1,0,Female
508,0,14.2,5.2,1,0,0,0,Female
509,1,14.9,5.1,1,1,1,0,Male
510,1,14.6,5.7,1,1,0,1,Male
511,1,13.6,5.7,0,0,0,1,Female
512,1,11.6,5.6,0,0,0,0,Female
513,1,13.7,5.7,0,0,0,0,Female
514,1,14.9,5.6,1,1,1,1,Male
515,1,13.3,5.6,0,0,0,1,Female
516,1,14.2,5.5,0,0,0,0,Female
517,1,14.3,5.5,0,0,1,0,Female
518,1,12.9,5.5,1,1,1,1,Male
519,1,12.6,6.3,0,0,0,0,Female
520,1,12.8,6.4,0,0,0,0,Female
521,1,12.0,6.2,0,1,1,1,Male
522,1,12.3,5.7,0,1,0,0,Female
523,0,14.2,6.2,1,0,0,1,Male
524,1,12.9,5.9,0,0,0,0,Female
525,1,14.2,5.3,0,0,0,0,Female
526,1,13.4,5.1,0,0,0,0,Female
527,1,14.3,5.3,0,0,0,1,Female
528,1,14.5,5.1,1,1,1,1,Male
529,1,13.6,5.6,0,0,0,0,Female
530,1,13.3,6.9,1,1,0,1,Male
531,1,13.4,5.1,0,0,0,0,Female
532,1,12.7,5.5,0,0,0,0,Female
533,1,12.3,5.6,0,0,0,0,Female
534,0,11.6,6.4,0,0,0,1,Female
535,1,12.6,7.0,1,1,0,1,Male
536,1,13.3,5.2,1,1,1,1,Male
537,1,13.3,5.6,1,1,1,1,Male
538,1,12.6,6.6,0,1,1,1,Male
539,1,13.7,5.6,0,0,0,0,Female
540,1,12.2,6.0,1,1,1,1,Male
541,1,13.4,5.3,0,1,1,0,Male
542,1,11.5,5.7,1,1,1,1,Male
543,0,11.5,6.5,0,1,1,1,Male
544,0,12.7,5.4,1,1,1,1,Male
545,1,13.0,5.6,0,0,0,0,Female
546,1,13.9,6.0,0,0,0,0,Female
547,0,13.2,5.4,1,1,0,1,Male
548,1,15.0,5.5,1,1,0,1,Male
549,1,12.3,7.1,1,1,1,1,Male
550,1,13.1,5.8,1,1,1,1,Male
551,0,12.4,6.8,0,1,0,1,Male
552,1,11.7,5.5,0,1,1,1,Male
553,1,13.7,5.3,0,0,0,0,Female
554,0,14.4,5.2,1,1,1,1,Male
555,1,12.3,5.2,1,1,1,0,Male
556,1,12.4,5.7,1,1,1,1,Male
557,1,14.0,5.9,1,1,0,1,Male
558,1,13.7,5.9,0,0,0,0,Female
559,1,12.4,5.4,1,1,0,0,Male
560,0,15.5,5.6,0,1,1,1,Male
561,0,12.0,5.8,0,0,0,0,Female
562,1,13.8,5.1,1,0,0,0,Female
563,1,12.6,5.8,0,0,0,0,Female
564,1,12.3,6.2,1,1,0,0,Female
565,0,11.6,5.2,1,1,1,0,Male
566,1,12.9,5.2,1,1,0,1,Male
567,1,13.7,6.1,0,0,0,0,Female
568,1,13.2,5.6,0,0,0,1,Female
569,1,12.2,6.2,1,1,1,1,Male
570,1,12.4,5.3,1,1,1,1,Male
571,1,13.7,5.6,0,0,0,1,Female
572,1,13.5,5.7,0,0,1,0,Female
573,1,15.0,6.8,1,1,1,1,Male
574,1,11.5,7.0,1,1,1,0,Male
575,1,12.9,5.6,0,0,0,0,Female
576,1,14.7,5.8,1,0,1,1,Male
577,1,11.8,7.0,1,1,1,1,Male
578,1,13.2,6.7,1,1,1,1,Male
579,1,13.2,7.0,1,1,0,1,Male
580,1,13.4,6.4,0,0,0,0,Female
581,1,12.1,5.1,0,0,0,0,Female
582,1,13.2,7.1,1,1,1,1,Male
583,1,13.7,6.6,0,1,0,1,Male
584,1,12.5,5.2,0,0,0,0,Female
585,1,11.8,6.1,0,0,0,0,Female
586,1,13.8,5.8,1,0,1,0,Male
587,1,14.0,5.2,0,0,0,0,Female
588,1,12.4,6.4,0,0,1,1,Female
589,1,14.6,6.8,1,1,1,1,Male
590,1,13.6,6.3,1,1,1,1,Male
591,1,12.7,6.5,0,0,0,0,Female
592,1,13.2,6.1,1,1,1,1,Male
593,1,11.5,5.6,0,0,0,0,Female
594,1,14.9,6.2,1,1,1,1,Male
595,1,14.1,6.0,0,0,0,0,Female
596,1,11.8,5.8,0,0,0,0,Female
597,1,13.0,5.7,1,1,1,1,Male
598,1,11.7,6.5,0,0,0,0,Female
599,0,11.4,5.4,0,0,0,1,Female
600,1,13.6,5.5,0,0,1,0,Female
601,1,13.7,6.1,0,0,0,0,Female
602,1,11.5,5.3,0,0,0,0,Female
